Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,7542.299805,7634.100098,7542.299805,7624.299805,7624.299805,2397081700
2024-01-03,7624.600098,7624.600098,7411.799805,7412.000000,7412.000000,2169646100
2024-01-04,7421.899902,7547.799805,7387.000000,7547.799805,7547.799805,2391591200
2024-01-05,7570.100098,7628.700195,7532.200195,7628.700195,7628.700195,2355101900
2024-01-08,7667.899902,7824.600098,7667.899902,7818.899902,7818.899902,2873781100
2024-01-09,7860.200195,7875.200195,7696.500000,7736.299805,7736.299805,2981854200
2024-01-10,7733.700195,7897.100098,7709.299805,7874.200195,7874.200195,2774720400
2024-01-11,7905.399902,7950.100098,7860.200195,7896.000000,7896.000000,2458858000
2024-01-12,7854.200195,8081.700195,7774.899902,7986.500000,7986.500000,3459555600
2024-01-15,7996.700195,8094.600098,7979.000000,8044.000000,8044.000000,2354208000
2024-01-16,8063.100098,8090.100098,7995.000000,8032.200195,8032.200195,2362808800
2024-01-17,7998.500000,8052.799805,7982.799805,8024.399902,8024.399902,2220438100
2024-01-18,8104.000000,8116.899902,8016.100098,8016.100098,8016.100098,2735824100
2024-01-19,8040.299805,8044.799805,7937.100098,7996.700195,7996.700195,2138728500
2024-01-22,7996.100098,8069.899902,7970.100098,8010.100098,8010.100098,2294889200
2024-01-23,8101.200195,8145.899902,7915.500000,7950.100098,7950.100098,2681121300
